sample_order,sample_id,dataset.code_ascii_txt,id.layer_uuid_txt,id.scan_local_c,scan.mir.model.name_utf8_txt,scan.mir.model.code_any_txt,scan.mir.method.preparation_any_txt,scan.mir.license.title_ascii_txt,scan.mir.license.address_idn_url,scan.mir.doi_idf_url,N,P,K
27,d88174e63b46494814d55c01e91daaa4,LUCAS.WOODWELL.SSL,d88174e63b46494814d55c01e91daaa4,11154,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.19,25.3,0.95145531740754
28,d2c3ecadc93aab25e7fa34de2435f03b,KSSL.SSL,d2c3ecadc93aab25e7fa34de2435f03b,261176XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.47639,61.68966,5.92081
29,bb2b9ee9ac79c823e1dc36e624f6baa3,LUCAS.WOODWELL.SSL,bb2b9ee9ac79c823e1dc36e624f6baa3,11164,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.02,0.0,0.159087421351476
30,5e679b2fd98577dbf032a322e04b7cc1,KSSL.SSL,5e679b2fd98577dbf032a322e04b7cc1,232198XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.04545,0.45407,0.21227
31,171f1950c34fade461d8f31ec7b541aa,LUCAS.WOODWELL.SSL,171f1950c34fade461d8f31ec7b541aa,12048,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.09,0.0,0.459870070080311
32,76f2ff22173a5bfeecb15c686f829c68,LUCAS.WOODWELL.SSL,76f2ff22173a5bfeecb15c686f829c68,12141,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.35,67.6,0.388255153716303
33,9f4339b931b43a42fdc3ae24748e93c4,KSSL.SSL,9f4339b931b43a42fdc3ae24748e93c4,260611XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.80472,23.34116,2.16142
34,b1b2c0a1acf771644dc87780ec149627,KSSL.SSL,b1b2c0a1acf771644dc87780ec149627,157764XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.50081,5.61784,0.2594
35,93d8af16cc306e2d3077e97a5d39e234,KSSL.SSL,93d8af16cc306e2d3077e97a5d39e234,159843XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,2.72532,6.95761,0.13713
36,64df4001f982c283885865a09fd6eff3,KSSL.SSL,64df4001f982c283885865a09fd6eff3,153329XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.01982,0.40878,0.49202
