target,budget,repeat,fold,model,preprocessing,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct
N,300,1,4,PLS (10 komponen),SG derivative,0.11358161576905149,0.18557944432596588,0.855787566300275,1.8325979002428503,0.5213985372112638,64.40737150538428
N,300,1,5,PLS (10 komponen),SG derivative,0.1235992133117215,0.18664338802437414,0.9097983404697579,2.198510776853307,0.6828521291514487,72.66708558757693
N,300,2,1,PLS (10 komponen),SNV,0.14944417527731388,0.2559543738393642,0.888837409591436,1.2527428040797433,0.8178651505367186,68.7045751159105
N,300,2,2,PLS (10 komponen),SNV,0.11551290261262172,0.16056353178224048,0.9051384487430334,1.582613418996221,0.5697283367111615,71.8175275063346
N,300,2,3,PLS (5 komponen),SG derivative,0.1768624392221276,0.3442542464183109,0.8194282749712716,1.3172075617005112,0.9072596239596705,62.055597171200276
N,300,2,4,PLS (10 komponen),SNV,0.1071466529386225,0.15830499840278872,0.9123642499535909,2.253608563213348,0.5667489610969425,72.0678802663547
N,300,2,5,PLS (10 komponen),SNV,0.1494572493613124,0.2527280488339723,0.8473804614984045,2.027327407321506,0.7151174063000657,64.65922286222091
P,300,1,1,PLS (5 komponen),SNV,12.557150875429516,21.397136944896705,-0.13113440155018008,0.9180954162687646,22.526477636302914,5.013392282805023
P,300,1,2,PCA 95% + Ridge,SNV,12.312829691751466,22.198414845162937,-0.11830312814617439,0.6209219260087591,23.12186962055922,3.9938585873487384
P,300,1,3,PLS (10 komponen),SNV,12.125832001229526,23.325072537870454,-0.08901983915713374,0.6949720080690465,24.563418800971696,5.04142470205432
P,300,1,4,PLS (5 komponen),SNV,13.223705313630102,24.30550323709314,-0.11361593437401596,0.753458787557702,25.28724986217221,3.8823779985172946
P,300,1,5,PLS (10 komponen),SNV,11.142492280865342,24.273668015761906,0.09442761648139941,0.3472764188142584,26.082682169643615,6.9356906705980315
P,300,2,1,PLS (10 komponen),SNV,9.157711031161922,13.985050828690778,-0.06273333509375911,0.6544302278275519,14.192991399510452,1.4650933335085878
P,300,2,2,PLS (5 komponen),SG derivative,16.40515234143053,25.59739261430637,-0.24304160416285248,0.8700308986764932,26.810483953077917,4.524690195427382
P,300,2,3,PLS (5 komponen),SG derivative,14.491417148907846,31.697395612354473,-0.03561541550519176,0.5998212392372205,33.289711352167,4.783206808156573
P,300,2,4,PLS (5 komponen),SG derivative,11.47462293302962,21.105643436234935,-0.026022313794743734,0.7049253222224476,22.27546716063618,5.251623752558078
P,300,2,5,PLS (10 komponen),SNV,9.88573846348868,19.79428885941054,-0.04493366750703376,0.7206783280429915,20.930904274559627,5.430321596428023
K,300,1,1,PLS (10 komponen),SG derivative,0.5309171238793865,0.7443448519925084,0.28770843933119383,1.2410138897917031,0.9641801044924795,22.800226998635992
K,300,1,2,PLS (10 komponen),SG derivative,0.766104876257003,1.2008120306051853,0.4516014465214899,1.0463634763698517,1.7944552577890898,33.08208575316164
K,300,1,3,PLS (10 komponen),SG derivative,0.9037924767014017,2.070355535814858,0.08993499897855894,0.45562464208773246,2.2750770789443266,8.998444273565573
K,300,1,4,PLS (10 komponen),SNV,0.8597978740059651,1.7705648200758122,0.1773287091221707,0.6057220123486338,2.0794238673225656,14.85310677156147
K,300,1,5,PLS (5 komponen),SG derivative,0.6704282062588445,0.9791803000214213,0.24077666317823865,1.4733988670223135,1.2353893522394117,20.739133921913428
K,300,2,1,PLS (5 komponen),SG derivative,0.7573753679938099,1.2276672560068924,0.3188426031197418,0.595790509538436,1.5993833445964554,23.24121292405678
K,300,2,2,PLS (10 komponen),SNV,0.761993316832388,1.6387239553718689,0.162226051120117,0.6955425083688664,1.8977081568760588,13.647209164686348
K,300,2,3,PLS (10 komponen),SG derivative,0.7853190215878351,1.118288863264228,-0.17506177123672084,1.356146760526878,1.1700140071705893,4.420899543882102
K,300,2,4,PLS (5 komponen),SG derivative,0.7292389330091719,1.2271327780409913,0.4090862582556877,1.0180764643858837,1.7301913570560954,29.075314528853827
K,300,2,5,PLS (10 komponen),SG derivative,0.668922176946585,1.9686248065342848,0.08985361713807927,0.46314866943737437,2.156821014239982,8.72562936206431
N,1000,1,1,PLS (10 komponen),SG derivative,0.1393024057200602,0.26519960092295775,0.8881231910803746,1.6077297818165772,0.8855742187759887,70.05337381100503
N,1000,1,2,PLS (10 komponen),SG derivative,0.09947990066142393,0.18399337576359806,0.8961463161779483,2.3670281508371804,0.6211152100995435,70.37693285049157
N,1000,1,3,PLS (10 komponen),SG derivative,0.11548470156356512,0.21209004085304256,0.900846451811961,1.8607780846883575,0.7293768163776964,70.92174633321288
N,1000,1,4,PLS (10 komponen),SG derivative,0.10364955109626496,0.1906606163174651,0.9217458883348715,1.8856673546117486,0.7399960345988137,74.23491378290545
N,1000,1,5,PLS (10 komponen),SG derivative,0.12095378579150129,0.23709893264192325,0.826373458092734,1.238470358040234,0.6030806612793093,60.6853696586842
N,1000,2,1,PLS (10 komponen),SG derivative,0.09977663380611332,0.20633822963967433,0.8616351624454169,1.8600164432456925,0.6031476158189023,65.78976286600654
N,1000,2,2,PLS (10 komponen),SG derivative,0.13647681188103394,0.2563681025930018,0.872493312153298,1.7253679067552794,0.7935580105600759,67.69384226717555
N,1000,2,3,PLS (10 komponen),SG derivative,0.10236281410375016,0.1852667274295904,0.9169490199044096,1.8937966081002942,0.6871369239340148,73.03787338789824
N,1000,2,4,PLS (10 komponen),SG derivative,0.10974750921797902,0.20214491550417477,0.9095607012277407,2.1811332671926356,0.7243799066173987,72.09407471721282
N,1000,2,5,PLS (10 komponen),SG derivative,0.11529213224475292,0.20231612765112475,0.9207554648920853,2.165138810660529,0.7884659521599253,74.34053720431434
P,1000,1,1,PLS (10 komponen),SG derivative,12.970847614467385,28.005016611136643,0.0475253650791958,0.6515186583795479,31.208402111471617,10.264497005944019
P,1000,1,2,PLS (10 komponen),SG derivative,12.020757295752428,23.227061966487877,0.08230437361308673,0.7515165940998011,26.18496014302382,11.296172155236153
P,1000,1,3,PLS (10 komponen),SG derivative,9.005716283037591,17.388520121096725,0.2551033967762951,0.6895123861319025,21.067269577333835,17.461918559180813
P,1000,1,4,PLS (10 komponen),SG derivative,13.744472271803275,33.3078636337686,0.09099024940971423,0.5195544118433154,37.15157497287231,10.346025281324819
P,1000,1,5,PLS (10 komponen),SG derivative,10.810506184507435,24.77085588612521,0.02081506109737563,0.6231671029440009,26.217029245656242,5.516160301688794
P,1000,2,1,PLS (10 komponen),SG derivative,12.035724631735825,24.315890142491476,0.04192574106912561,0.769168530964733,26.92115991006588,9.677405343149013
P,1000,2,2,PLS (10 komponen),SG derivative,15.463582216678992,33.45972255583318,0.10978802114392427,0.5604200682988318,37.85854895212309,11.619109865654853
P,1000,2,3,PLS (10 komponen),SG derivative,10.567312248067738,28.27435735936866,0.14113496682332138,0.5414555423989958,31.62632602385671,10.598666003631138
P,1000,2,4,PLS (10 komponen),SG derivative,10.82225714057538,22.405448433402853,0.00949489461465891,0.718356298372714,24.45085194127124,8.365367034168226
P,1000,2,5,PLS (10 komponen),SG derivative,9.280606612997888,17.297573920135413,0.16054807069492616,0.7607016198198152,20.273941085877986,14.68075276106919
K,1000,1,1,PLS (10 komponen),SG derivative,0.8093277772191323,1.9129840792198396,0.31363394523143473,0.5805667763073781,2.4501811160121134,21.92478887710185
K,1000,1,2,PLS (10 komponen),SG derivative,0.6396570077485477,0.9985306604839101,0.44854417928574164,1.0448151882430965,1.4645917727481987,31.82191249031525
K,1000,1,3,PLS (10 komponen),SG derivative,0.6365453609732752,1.2535854153540673,0.4244058417102645,0.9672555895662893,1.7649494125265002,28.9732948459085
K,1000,1,4,PLS (10 komponen),SG derivative,0.5497959433344033,0.9435774933330976,0.3440196032020061,1.0259835645086202,1.2448963089875738,24.20433039114134
K,1000,1,5,PLS (10 komponen),SG derivative,0.5723133087325,0.9614231670557007,0.5237544592553853,0.9170935652613801,1.4706884680181938,34.627680303276364
K,1000,2,1,PLS (10 komponen),SG derivative,0.5648750031087301,0.8294342913285435,0.3995777748977897,1.1299757611430665,1.1457133188532878,27.60542470094517
K,1000,2,2,PLS (10 komponen),SG derivative,0.7792043701838658,1.9235472530506625,0.21346167383361514,0.6088438940829879,2.2850779334006903,15.821372000734867
K,1000,2,3,PLS (10 komponen),SG derivative,0.5939239542151508,1.054705478890301,0.33707676344419846,0.8667941129516843,1.352118666913449,21.9960862386486
K,1000,2,4,PLS (10 komponen),SG derivative,0.6808734241235408,1.1943987719433555,0.4974530341705018,0.9275231405316106,1.8612522009469719,35.82821439589612
K,1000,2,5,PLS (10 komponen),SG derivative,0.6470141951620488,1.2076045471413839,0.47217765569131365,1.0092723544147726,1.7773288993221201,32.05508853189926
