family,target,budget,repeat,fold,model,preprocessing,fit_seconds,model_bytes,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct,best_epoch,validation_loss,parameters,device
PLS–Cascade Forest,K,240,1,3,PLS–Cascade Forest,SNV + latent scores,0.8318365000013728,2548304,0.6849430858152514,1.008655163629327,0.2629360477892737,1.213506899221917,1.3319243619640457,24.27083756152852,,,,
PLS–Cascade Forest,K,240,1,4,PLS–Cascade Forest,SNV + latent scores,0.8217974579893053,2543984,0.8172379438834637,2.1850472800284195,0.12091295989890216,0.5568734393534056,2.4293565336210663,10.056541730764101,,,,
PLS–Cascade Forest,K,240,1,5,PLS–Cascade Forest,SNV + latent scores,0.8437827080197167,2546000,0.7557652490573937,1.0834699349937291,0.418978254805058,1.4449962564111773,1.578418199127671,31.35723247536553,,,,
Tiny 1D CNN,N,240,1,1,Tiny 1D CNN,SNV + local convolutions,4.0542403330036905,207916,0.1552435301932528,0.3291722162793205,0.6824175059671207,0.9904693770489477,0.625093962057851,47.34036220800092,22.0,0.7263167500495911,51619.0,mps
Tiny 1D CNN,P,240,1,1,Tiny 1D CNN,SNV + local convolutions,4.0542403330036905,207916,10.837705657246227,17.34366134798361,-0.22905894463271292,0.8554987151963169,17.498986403504315,0.887623156788102,22.0,0.7263167500495911,51619.0,mps
Tiny 1D CNN,K,240,1,1,Tiny 1D CNN,SNV + local convolutions,4.0542403330036905,207916,0.993152326427636,2.026264261595674,-0.02493907290493258,0.43364325914045476,2.1151042945807097,4.2002672498306834,22.0,0.7263167500495911,51619.0,mps
Tiny 1D CNN,N,240,1,2,Tiny 1D CNN,SNV + local convolutions,1.5449747500242665,207916,0.1593230430722665,0.3110634138174734,0.7446144201554341,1.164063287148493,0.6589564844190157,52.79454392322587,15.0,0.7301943302154541,51619.0,mps
Tiny 1D CNN,P,240,1,2,Tiny 1D CNN,SNV + local convolutions,1.5449747500242665,207916,14.833046033021157,24.466596755374802,-0.24141967373194229,0.9592091100632719,25.2470488562233,3.0912607065206403,15.0,0.7301943302154541,51619.0,mps
Tiny 1D CNN,K,240,1,2,Tiny 1D CNN,SNV + local convolutions,1.5449747500242665,207916,0.6752815606215578,1.3915888519480644,0.18285621288595744,0.6032744505137293,1.6445064057924157,15.379542028751262,15.0,0.7301943302154541,51619.0,mps
Tiny 1D CNN,N,240,1,3,Tiny 1D CNN,SNV + local convolutions,2.388853791024303,207916,0.13946962950715958,0.2067366172720859,0.8843816308959799,0.9707883520985648,0.6376666221728515,67.57920046565553,30.0,0.4068297743797302,51619.0,mps
Tiny 1D CNN,P,240,1,3,Tiny 1D CNN,SNV + local convolutions,2.388853791024303,207916,10.845700152207156,20.369353695417423,-0.025839891182848573,0.49796032567699683,20.610192428961092,1.16854189680076,30.0,0.4068297743797302,51619.0,mps
Tiny 1D CNN,K,240,1,3,Tiny 1D CNN,SNV + local convolutions,2.388853791024303,207916,0.6746701162698994,1.134706893173573,0.06720303250791893,1.0787014755649027,1.3319243619640457,14.806957093243435,30.0,0.4068297743797302,51619.0,mps
Tiny 1D CNN,N,240,1,4,Tiny 1D CNN,SNV + local convolutions,5.142700166004943,207916,0.15539493579649774,0.27622721895258934,0.8343174764421222,3.2591556451738333,0.7633695205910916,63.81474351521118,84.0,0.46213003993034363,51619.0,mps
Tiny 1D CNN,P,240,1,4,Tiny 1D CNN,SNV + local convolutions,5.142700166004943,207916,18.08268270010527,38.92975106064923,-0.09202082094351671,0.5649970626766496,40.55607139524463,4.0100539294003,84.0,0.46213003993034363,51619.0,mps
Tiny 1D CNN,K,240,1,4,Tiny 1D CNN,SNV + local convolutions,5.142700166004943,207916,0.7970401017378711,2.1523495591410158,0.147025964252672,0.5653332604880605,2.4293565336210663,11.402483359128807,84.0,0.46213003993034363,51619.0,mps
Tiny 1D CNN,N,240,1,5,Tiny 1D CNN,SNV + local convolutions,2.338896333007142,207916,0.15351498369728525,0.28662486533291687,0.8398572282557235,1.6732934159181632,0.8116903067839873,64.68790338663051,31.0,0.5993689894676208,51619.0,mps
Tiny 1D CNN,P,240,1,5,Tiny 1D CNN,SNV + local convolutions,2.338896333007142,207916,11.482937535616557,19.212083596473317,-0.1251357302813827,0.9056991352668334,19.678449354469706,2.3699314391886266,31.0,0.5993689894676208,51619.0,mps
Tiny 1D CNN,K,240,1,5,Tiny 1D CNN,SNV + local convolutions,2.338896333007142,207916,0.8924365750339941,1.3185843241785171,0.1394532397215399,1.1873415839183292,1.578418199127671,16.46166238407246,31.0,0.5993689894676208,51619.0,mps
PLS–RBF-SVR,N,300,1,1,PLS–RBF-SVR,SNV + latent scores,0.02092300000367686,539998,0.14132381867447394,0.22747507677063425,0.8679710452594704,1.2859870371423652,0.6680419615868559,65.94898376887977,,,,
PLS–RBF-SVR,N,300,1,2,PLS–RBF-SVR,SNV + latent scores,0.015340374986408278,540274,0.18754359232853354,0.43053312220015005,0.6720002586447751,1.1494469867290216,0.8291878893090916,48.077736330798885,,,,
PLS–RBF-SVR,N,300,1,3,PLS–RBF-SVR,SNV + latent scores,0.017800500005250797,539354,0.15460075886507935,0.2565846531772501,0.8974524028910917,1.4548122632343659,0.881276691103859,70.88489281886483,,,,
PLS–RBF-SVR,N,300,1,4,PLS–RBF-SVR,SNV + latent scores,0.014156541001284495,540090,0.12404615495986158,0.17747360775808865,0.8681104088988427,1.9162990164913676,0.5213985372112638,65.9620050513915,,,,
PLS–RBF-SVR,N,300,1,5,PLS–RBF-SVR,SNV + latent scores,0.015370291977887973,539446,0.13095147105752689,0.19738136473379989,0.8991208059302227,2.078906995872712,0.6828521291514487,71.09456699225976,,,,
PLS–RBF-SVR,P,300,1,1,PLS–RBF-SVR,SNV + latent scores,0.01689974998589605,552050,13.13204936104163,20.518787769922717,-0.04017467882634862,0.9573963905986973,22.526477636302914,8.91257789519952,,,,
PLS–RBF-SVR,P,300,1,2,PLS–RBF-SVR,SNV + latent scores,0.017471416998887435,553154,12.545340138200268,21.102244237831187,-0.010585130249319175,0.6531761430042389,23.12186962055922,8.734697564993828,,,,
PLS–RBF-SVR,P,300,1,3,PLS–RBF-SVR,SNV + latent scores,0.018856792012229562,552694,13.106478728171632,24.282728195662468,-0.18027917080276334,0.6675638902425954,24.563418800971696,1.1427179888254182,,,,
PLS–RBF-SVR,P,300,1,4,PLS–RBF-SVR,SNV + latent scores,0.016522916994290426,552418,14.358125008899533,25.576716682708494,-0.2331496589934603,0.7160103944217711,25.28724986217221,-1.144714518636934,,,,
PLS–RBF-SVR,P,300,1,5,PLS–RBF-SVR,SNV + latent scores,0.017574833997059613,552418,10.189350619279613,18.0273650768915,0.500521427826247,0.46760424854354526,26.082682169643615,30.883775833941318,,,,
PLS–RBF-SVR,K,300,1,1,PLS–RBF-SVR,SNV + latent scores,0.017679041979135945,549566,0.6374938803309912,1.0089685384634448,-0.3087740318426402,0.9155313222396576,0.9641801044924795,-4.6452352379269275,,,,
PLS–RBF-SVR,K,300,1,2,PLS–RBF-SVR,SNV + latent scores,0.019094624993158504,549014,0.7143109225724255,1.0502198072115845,0.580524452460135,1.1964027360585117,1.7944552577890898,41.474171470536525,,,,
PLS–RBF-SVR,K,300,1,3,PLS–RBF-SVR,SNV + latent scores,0.016366583993658423,549842,0.8971105821078802,2.096176602908581,0.06709313867335043,0.4500121786929132,2.2750770789443266,7.863490766596723,,,,
PLS–RBF-SVR,K,300,1,4,PLS–RBF-SVR,SNV + latent scores,0.01541829199413769,548922,0.8398532326522846,1.3693692997295404,0.5079107765323512,0.7831854314404724,2.0794238673225656,34.14669701311453,,,,
