family,target,budget,n_folds,model_bytes_median,mae_median,mae_q025,mae_q975,rmse_median,rmse_q025,rmse_q975,r2_median,r2_q025,r2_q975,rpiq_median,rpiq_q025,rpiq_q975,baseline_rmse_median,baseline_rmse_q025,baseline_rmse_q975,rmse_improvement_pct_median,rmse_improvement_pct_q025,rmse_improvement_pct_q975,fit_seconds_median,fit_seconds_q025,fit_seconds_q975
PCA–Gaussian Process,N,300,5,838920.0,0.18141060091064715,0.16053693258324367,0.2718473205124444,0.29675923736446064,0.2743639501551397,0.5456851134022211,0.7474153883174784,0.46102389770321656,0.8051917279808076,0.9857485906689181,0.885803591637902,1.4728590937788095,0.6828521291514487,0.536062879648823,0.8760678109243822,54.30600886034587,33.36652934492723,59.715931489404106,0.011980749986832961,0.011486596497707068,0.028791511891176923
PCA–Gaussian Process,N,1000,5,5596695.0,0.14328032796158094,0.12969106605779587,0.17377741112143638,0.2736050446171412,0.22870412927511005,0.3461480985715498,0.807080542987095,0.7730862774979574,0.8421895430770696,1.224320373599046,1.1058194229630498,1.8768199171898685,0.7293768163776964,0.6048841161613326,0.8710164003582712,60.675258022992864,56.040085033259814,63.467525902097,0.05681658300454728,0.04080624971247744,0.095231438105111
PCA–Gaussian Process,P,60,5,362747.0,14.142865768853511,5.713748441843723,19.707294234015635,23.318368781053643,7.803715927701096,36.521646390288964,-0.1269170392485719,-0.3316706568973039,0.2057478527735144,0.8693175569041655,0.47921972785835326,1.0833581405594856,24.156710923220352,9.166385318863242,37.50793050381182,3.470431652849159,1.8199546751088316,14.972149622660595,0.005651333020068705,0.0056063752970658244,0.005735504406038672
PCA–Gaussian Process,P,120,5,426500.0,10.837644638314222,7.844448328960217,19.996721464471673,18.728893946888366,11.362097713443612,35.63349752716971,-0.04619499607711508,-0.22929044265198545,0.1996466963809352,0.7417109911558788,0.6479369609186758,1.1698245461128167,19.76847331360908,13.142889179329364,36.86941147841375,5.258774161407,3.2521555745591693,14.059128063836107,0.009835500008193776,0.007933762195170857,0.010657237516716123
PCA–Gaussian Process,P,180,5,527108.0,14.472354856213773,8.570534585728627,16.696494687904675,24.324119680344147,11.600226219288167,32.27332853576714,-0.11186833860897161,-0.2518811660459984,0.12506835388476256,0.9309725407369648,0.4922923912644315,1.0149714999393729,25.108671899010805,12.49992114904783,33.901286588721355,4.508002673858886,2.8045852612699704,7.896383361738539,0.01022974998340942,0.008911554806400091,0.011627883004257456
PCA–Gaussian Process,P,240,5,664584.0,11.59047020442704,11.284690795596603,17.862594289058112,20.281776321095357,17.40506004775915,36.21020659662257,-0.06283626156509592,-0.20871287332281638,-0.017440225371442762,0.8594352756541196,0.5085294205029569,0.9993597576680077,20.610192428961092,17.716932698600854,39.025169141342495,5.111339139520968,1.3667845168068948,7.627863161523719,0.01152925001224503,0.008708687784383074,0.01254329999210313
PCA–Gaussian Process,P,300,5,838920.0,12.09959993682197,10.998209755158285,13.325874829706937,23.754133244684542,21.18240928672477,24.072914723373362,-0.0976894939095434,-0.1275312533478472,0.10203605417695774,0.6824190271656141,0.3800728124289367,0.9147840069646588,24.563418800971696,22.586016834728547,26.003138938896473,4.715607845085078,3.3992886987695603,8.257374419744202,0.012854375003371388,0.012015267214155755,0.018019504178664648
PCA–Gaussian Process,P,1000,5,5596695.0,12.213394183816517,9.878688584679708,14.400610245067865,24.642435440940474,19.158856655873045,33.57829487945982,0.05381857422718184,-0.07697215535568332,0.13207816514518736,0.6264146470829052,0.5192541309927327,0.7455589263084462,26.217029245656242,21.579038633902833,36.55725768673224,8.531304236734098,4.245780677142801,11.88316572088536,0.054587499995250255,0.04844273719936609,0.06498535420687404
PLS–Cascade Forest,K,60,5,1054244.0,1.0372187752199984,0.7687427948664124,2.1327388388091366,1.7024070021703428,0.9983582672659267,4.041309222882988,-0.11900887840847663,-1.4709538621472427,0.03265778114267404,0.6262313097243415,0.1233296677885117,1.6502962224275195,1.7422233128591942,0.8100439928862758,4.258075022548805,4.50567019534857,-53.853660087949876,15.037095372907316,0.878767333982978,0.8454014169983566,1.0809587290830678
PLS–Cascade Forest,K,120,5,1552595.0,0.7916736199834039,0.5195230500997741,1.5115370305865221,1.1861655707751648,0.9354259354598145,3.4326261345034776,0.35733691732021255,0.07993683397197557,0.47749160493003084,1.0435109199843495,0.3961238983838167,1.3573009099584308,1.6675276701993704,1.2055178623700742,3.892959826815275,21.40174224864924,11.894638108430604,35.429350105524605,0.850099584000418,0.8141960997163551,1.024614616719191
PLS–Cascade Forest,K,180,5,2048210.0,0.5931216293485945,0.4725207169098367,1.4381967972329226,0.9305247061166873,0.6138517402075632,2.8838027046749963,0.40743418857257563,-0.06208089372284834,0.49498236342117063,0.8790049856388853,0.5637049260616983,2.2147013435777727,1.2378774138601372,0.977047725526068,3.059387497830929,24.82901007015033,5.783123463413224,37.25768247885029,0.9074708750122227,0.8409936118958286,1.05820745441888
PLS–Cascade Forest,K,240,5,2543984.0,0.7557652490573937,0.6281542444705237,0.9421129886414319,1.1314280733490285,1.0161366407657673,2.161103170927304,0.2629360477892737,0.06162272652511044,0.45574477926862395,0.7419914882570037,0.4621458857072485,1.4218473206922513,1.6445064057924157,1.3565737456804083,2.3979313097170305,24.27083756152852,8.21798386282057,31.34146261102153,0.8318365000013728,0.8187674208165845,0.8434152331174118
PLS–Cascade Forest,K,300,5,3040607.0,0.69087917906028,0.5719518471915133,0.9922561730081627,1.2153532182541429,0.8724894763956059,2.178820941156015,0.18276829427228947,-0.05532906288852435,0.43465360453253266,1.019321693257486,0.4423634610289282,1.5980208228521804,1.7944552577890898,0.9913010292671727,2.2555117577821506,15.135073545024998,2.5885681336363553,32.012454062827445,0.8641673339880072,0.8346140415815171,0.9794329374912195
PLS–Cascade Forest,K,1000,5,8819598.0,0.595819301801061,0.5540142131440802,0.7938999657344173,1.0283665620680273,0.9523395717734945,1.8775931595964332,0.33385500245754784,0.300387917826765,0.4813436036894787,0.8972971886941125,0.6020196040064497,1.0741581323599785,1.4706884680181938,1.2668658553636363,2.381657945663552,23.619350179082172,21.227966857179396,33.667428583386254,1.1526329579937737,0.9322275669896044,1.2658362665795722
PLS–Cascade Forest,N,60,5,1057268.0,0.2396281181317891,0.12388905971227329,0.3367771426351044,0.36165655700872074,0.16491021324703142,0.6549223379597416,0.575085244857269,0.4429449256263332,0.8599307643403798,1.4126582556244593,0.7332209996059148,2.218704944083157,0.814515361273193,0.4405009789335883,1.161871842778146,44.11927635068008,32.41690519893001,66.63479051449993,0.7922945420141332,0.7808995547966333,0.8096608582913177
PLS–Cascade Forest,N,120,5,1549139.0,0.13484056908662279,0.1140380019416078,0.311895991674313,0.23892205810033956,0.19355844121694535,0.5292420962951081,0.7962599691325317,0.5651383443353661,0.8948771084651673,1.3619586584099146,0.4839234594830852,1.698981817220865,0.7145803969113622,0.46395898467337815,0.9855363399675784,56.69369738412623,45.94283908949213,69.73799806058257,0.8169449999986682,0.801130591405672,0.8482183413987514
PLS–Cascade Forest,N,180,5,2045762.0,0.15861977726729432,0.13675368044597466,0.17639445588297,0.29937492907533575,0.20243276151993173,0.32212310399350286,0.7993643717832992,0.7508554854320003,0.8654108770263067,1.5485597610225341,1.052660177574626,2.279778387942312,0.6916219281567669,0.5842377847924475,0.8262379634532007,59.892246295313655,53.49614807781432,66.13184669912103,0.8939919999975245,0.8483054454816739,0.9450397086184239
PLS–Cascade Forest,N,240,5,2544416.0,0.15311945573814237,0.10558837464913046,0.18684975724058753,0.26193424501036333,0.18143449587319835,0.36082275544820364,0.8662591200570977,0.6229989260464737,0.9125471717588837,1.8310225147575663,0.8901172647107718,3.0148987329470516,0.6589564844190157,0.6263512280693511,0.8068582281646978,66.75791513278689,43.112136533121266,72.4561784129359,0.8523267910059076,0.846455750305904,0.8617685669945786
PLS–Cascade Forest,N,300,5,3035999.0,0.13356852964740154,0.08663223927064306,0.16493660010962774,0.27385700409029423,0.14777045561044702,0.3046619700931439,0.8831814421699473,0.8012493151259388,0.9135712327867674,1.610769945497383,1.0713708433444245,2.3517944478876034,0.6828521291514487,0.536062879648823,0.8760678109243822,68.924969098267,58.36246917100494,73.16479787449691,0.8544410830072593,0.8369810332776979,0.9509945834201062
PLS–Cascade Forest,N,1000,5,8810517.0,0.11985284403087348,0.10122254102184039,0.12362961229230617,0.23595483551663665,0.19869103871192567,0.2644842765038061,0.8805033847217487,0.78870669816014,0.9107428597790433,1.706892075307863,1.1540869726113883,2.16669880243238,0.7293768163776964,0.6048841161613326,0.8710164003582712,68.22417229140228,56.82731292723067,73.17378676141604,0.9697436249989551,0.9107684041868197,1.0992592326772865
PLS–Cascade Forest,P,60,5,1054388.0,13.206280341960577,5.86821604866477,18.909201426417596,19.72370114938823,8.202396368558498,36.41985159098524,-0.13147714877951855,-0.203786715311522,0.1524099880551206,0.8437253864050077,0.4904995765654712,1.0459123228403133,24.156710923220352,9.166385318863242,37.50793050381182,6.529043842107605,-5.252609875078386,17.806600314349097,0.8366897919913754,0.8147087006276706,0.8464615499950014
PLS–Cascade Forest,P,120,5,1547267.0,10.358674000621745,7.642385730683792,20.916656861954685,18.30807677414638,10.489116127562394,35.659347765097024,0.00029048074150461733,-0.23080706769447373,0.31915236561609117,0.7434545915312082,0.6611629118848424,1.2735556039469695,19.76847331360908,13.142889179329364,36.86941147841375,6.452483315014525,3.3709003036320646,20.763055458067768,0.812769959011348,0.7971549207984936,0.8272748665855033
PLS–Cascade Forest,P,180,5,2045474.0,14.510209511661536,8.45875626208454,17.42285501321267,23.713737310283516,11.88792507713506,32.59454379987658,-0.14143583381298352,-0.1788108215512744,0.05611517258208733,0.9463815450429216,0.48688616797120843,1.0568444677416566,25.108671899010805,12.49992114904783,33.901286588721355,4.325789947286081,1.7994806873678906,7.148521907380175,0.8550567500060424,0.8244674835761543,1.0900533840118443
PLS–Cascade Forest,P,240,5,2544704.0,11.985420639505074,10.347108109001612,18.403664817702495,19.031628892738535,17.240070196057857,36.84329273360328,-0.10388114536077153,-0.1843861187545799,0.08831044754821643,0.8706819740637224,0.5370886359505447,0.9826835354440253,20.610192428961092,17.716932698600854,39.025169141342495,5.553577328852596,2.68402946939682,7.506346959597155,0.8906522500037681,0.8394742622156628,0.9340827707957942
PLS–Cascade Forest,P,300,5,3043631.0,11.553808869167712,11.097730905786074,13.083188393879135,22.76134980825662,21.243536416499722,24.136809006831452,-0.03701684768104774,-0.1206744211948408,0.1035481438841631,0.7121841470983309,0.3815436513862051,0.9050942853110285,24.563418800971696,22.586016834728547,26.003138938896473,7.336393224886869,4.5604689457237555,8.157898836298747,0.8407634999894071,0.8322975999995833,0.8515874660777627
PLS–Cascade Forest,P,1000,5,8809374.0,12.398361836132876,10.212830156877914,14.214090636369459,24.834440427890954,19.84690072178566,34.10010441714781,0.016752917655894817,-0.03225583816266007,0.06838566684657,0.6215715850260825,0.5113491224176667,0.7247652844846355,26.217029245656242,21.579038633902833,36.55725768673224,6.756920006994756,5.380330108016651,9.25993905242678,1.2430603750108276,1.0993287289107685,1.588521679083351
PLS–Cubist,K,60,5,522115.0,1.1412015660395078,0.8950994813289659,1.9505027443633718,1.7390813419294882,1.1682862349520216,4.0283101636681335,-0.32268171400546164,-1.9179363428261849,0.043017944877344456,0.6130251305382869,0.12117228701894567,1.4221637616862692,1.7422233128591942,0.8100439928862758,4.258075022548805,0.214672542744823,-66.97450431128725,16.000155804498267,0.013008541980525479,0.012883787180180661,0.013313562487019226
PLS–Cubist,K,120,5,534600.0,0.8094519825659777,0.6564488756828274,1.417394803269849,1.1543231872902129,0.9668628710612898,3.2973949523831743,0.1558376820856634,-0.03020031175835389,0.5761751073826794,0.9572028839776296,0.3509071338447958,1.5649130270511094,1.6675276701993704,1.2055178623700742,3.892959826815275,14.841841592555857,8.133324108681595,42.19005473944681,0.021676249976735562,0.019282283008215016,0.039481237498694095
PLS–Cubist,K,180,5,546490.0,0.6650624642657483,0.6017159372936454,1.3291751131926295,1.0608781518856572,0.8810056037499634,2.705488338332245,0.05761128596308418,-0.05585015420596512,0.28235591574087593,0.6298581963068489,0.591277009188716,1.565918005119317,1.2378774138601372,0.977047725526068,3.059387497830929,10.597939199914965,5.44338271580964,20.437407796443804,0.029697999998461455,0.028824442281620576,0.03113805409811903
PLS–Cubist,K,240,5,560340.0,0.7394315645809854,0.6580344705382202,0.9552604953394248,1.2308299998256018,0.9704244813783924,2.1312097194099664,0.14943194712011043,-0.07391261566197443,0.5417829531596366,0.7697853980855275,0.4846770653581378,1.57169219696545,1.6445064057924157,1.3565737456804083,2.3979313097170305,12.729029407844196,7.927850195369787,38.796844013700266,0.036835708015132695,0.03558710830693599,0.03891688328294549
PLS–Cubist,K,300,5,574690.0,0.6448483052753211,0.5828590006452187,0.9028755951001873,1.104231171875282,0.8994074321645604,2.074676693604734,0.19571094364335795,-0.05789560775488306,0.5187925648868037,1.0123806090066434,0.4634889691283056,1.5597910738162553,1.7944552577890898,0.9913010292671727,2.2555117577821506,15.809766266872911,5.551688569589451,37.34921209934678,0.045819499995559454,0.045107475298573264,0.0482062538882019
PLS–Cubist,K,1000,5,741438.0,0.5978462461142017,0.5601581025136855,0.8122754721789451,1.0903643748019123,0.9171477562524207,1.8247868972421688,0.37046129823183027,0.14522327442017652,0.5381513448412325,0.8887141523468799,0.619934626345191,1.1256470738499145,1.4706884680181938,1.2668658553636363,2.381657945663552,25.719520771805172,13.491367567936377,37.40668962567239,0.17875275001279078,0.1737528035941068,0.20385249999235383
