target,budget,repeat,fold,model,preprocessing,best_epoch,validation_loss,parameters,device,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct
K,120,1,2,Patch transformer,SNV + patches(16),4,0.7207147479057312,108803,mps,1.0060925904651115,1.6727772088294262,-0.029740485836682762,0.8369457526841466,1.8438307810072179,9.277075420356708
N,120,1,3,Patch transformer,SNV + patches(16),31,0.660275399684906,108803,mps,0.18789941312010291,0.29049526170902645,0.8404646936842294,0.5438987165245406,0.7580497785016733,61.67860344432708
P,120,1,3,Patch transformer,SNV + patches(16),31,0.660275399684906,108803,mps,10.716165083488393,18.532094511019874,-0.024324098920019077,0.6492818441458409,19.76847331360908,6.2542958324356395
K,120,1,3,Patch transformer,SNV + patches(16),31,0.660275399684906,108803,mps,0.9298463576717855,1.442437233621602,0.050205916684460505,1.0621128289057022,1.6675276701993704,13.498452865304266
N,120,1,4,Patch transformer,SNV + patches(16),41,0.877467691898346,108803,mps,0.09416216338237142,0.14020148008879835,0.8956279461427678,0.7964609213060774,0.4446952195998989,68.47245621058387
P,120,1,4,Patch transformer,SNV + patches(16),41,0.877467691898346,108803,mps,7.486361615757822,11.305179838393572,0.1533670750775028,1.1527687030454032,12.743658262338325,11.287798168567708
K,120,1,4,Patch transformer,SNV + patches(16),41,0.877467691898346,108803,mps,1.7321406108139978,3.80752787275544,0.006128815705546575,0.3813161275838307,4.120640831905059,7.598647198883889
N,120,1,5,Patch transformer,SNV + patches(16),50,0.7903369665145874,108803,mps,0.2137832202974955,0.3102738857942123,0.7589520624325197,1.3124694621257624,0.7145803969113622,56.5795693339319
P,120,1,5,Patch transformer,SNV + patches(16),50,0.7903369665145874,108803,mps,22.39873925625324,38.35879107531649,-0.317042151816489,0.6756341707723168,38.38259505264647,0.06201763402743636
K,120,1,5,Patch transformer,SNV + patches(16),50,0.7903369665145874,108803,mps,1.1715534992651164,1.640543773938212,-0.45302854213452615,0.8124150791786171,1.625009413590324,-0.9559550989656268
N,180,1,1,Patch transformer,SNV + patches(16),25,0.8166090250015259,108803,mps,0.24839762675427732,0.6108118840311437,0.10099743686896456,0.5417707295019284,0.6916219281567669,11.684135628982883
P,180,1,1,Patch transformer,SNV + patches(16),25,0.8166090250015259,108803,mps,16.53699068831648,29.523190301935582,-0.1614260057245489,0.6839040697670212,30.250128050293444,2.4030898221298953
K,180,1,1,Patch transformer,SNV + patches(16),25,0.8166090250015259,108803,mps,0.6739695473157505,1.0326653236001204,0.06827380125637839,0.6470661733063013,1.116111083405019,7.476474433917739
N,180,1,2,Patch transformer,SNV + patches(16),22,0.5036714673042297,108803,mps,0.23809699723952754,0.38658640491693463,0.47990629314079913,1.157005249825345,0.576821378415556,32.97987568026155
P,180,1,2,Patch transformer,SNV + patches(16),22,0.5036714673042297,108803,mps,15.240127502187091,33.80683674607837,-0.08673802661658803,0.4532623863951876,34.3069708707689,1.4578207052277812
K,180,1,2,Patch transformer,SNV + patches(16),22,0.5036714673042297,108803,mps,0.7449151553381683,1.1283530271516438,0.1286938675482635,0.5605249286179296,1.2378774138601372,8.847757094699533
N,180,1,3,Patch transformer,SNV + patches(16),53,0.5297850966453552,108803,mps,0.20978498279992078,0.3182545493367088,0.7284005576058576,1.1799438555792725,0.650985442184471,51.111879204431666
P,180,1,3,Patch transformer,SNV + patches(16),53,0.5297850966453552,108803,mps,16.201388026255504,24.05573948373081,-0.36222184601912755,0.9777802721844278,23.760761708218833,-1.2414491552682207
K,180,1,3,Patch transformer,SNV + patches(16),53,0.5297850966453552,108803,mps,1.4624900233682518,2.5506585287896764,-0.03628063787513902,1.009943107210967,2.9421086257266738,13.305086478250368
N,180,1,4,Patch transformer,SNV + patches(16),48,0.6393117308616638,108803,mps,0.20892665132645236,0.34947770974706527,0.7741182725330368,1.3331250806730812,0.8351058963933787,58.15168935384418
P,180,1,4,Patch transformer,SNV + patches(16),48,0.6393117308616638,108803,mps,6.7565802573271405,10.166777054471616,0.16616018238345764,1.0017995324801912,11.248716642473275,9.618338005923585
K,180,1,4,Patch transformer,SNV + patches(16),48,0.6393117308616638,108803,mps,0.649709342003534,0.8530158991144996,-0.031194179389376187,1.6427097096954701,0.9615962413172957,11.291677061263398
N,180,1,5,Patch transformer,SNV + patches(16),24,0.684441328048706,108803,mps,0.19907216037568612,0.28908920739095856,0.8129141432199322,2.11770271718261,0.746426566991598,61.270241417571
P,180,1,5,Patch transformer,SNV + patches(16),24,0.684441328048706,108803,mps,14.87370004720522,24.223477447773966,-0.20088704673562074,0.9348404888944212,25.108671899010805,3.525453097627645
K,180,1,5,Patch transformer,SNV + patches(16),24,0.684441328048706,108803,mps,1.3366806712924846,2.751117360187925,0.054650250880029616,0.5866185431060499,3.072418483620291,10.45759635756944
N,240,1,1,Patch transformer,SNV + patches(16),49,0.7199558615684509,108803,mps,0.25673570443591087,0.4910960777338125,0.29312415247082835,0.6638924943251531,0.625093962057851,21.43643875280902
P,240,1,1,Patch transformer,SNV + patches(16),49,0.7199558615684509,108803,mps,12.829668775519247,17.931914643584502,-0.31384601407209245,0.8274342308063797,17.498986403504315,-2.4740189522833727
K,240,1,1,Patch transformer,SNV + patches(16),49,0.7199558615684509,108803,mps,1.005280787974101,1.8630604517918306,0.13351754289617013,0.4716303421250198,2.1151042945807097,11.916378943329759
N,240,1,2,Patch transformer,SNV + patches(16),35,0.7160264253616333,108803,mps,0.16727646450321876,0.2633129772855853,0.8170033956930344,1.3751600993340884,0.6589564844190157,60.04091567324946
P,240,1,2,Patch transformer,SNV + patches(16),35,0.7160264253616333,108803,mps,15.18336270231758,24.564745098295873,-0.2513996209802536,0.9553765938172948,25.2470488562233,2.702508961791957
K,240,1,2,Patch transformer,SNV + patches(16),35,0.7160264253616333,108803,mps,0.7410534669674992,1.4357072001295814,0.13022212131358368,0.5847362191428928,1.6445064057924157,12.696770588876063
N,240,1,3,Patch transformer,SNV + patches(16),50,0.4641708731651306,108803,mps,0.1937702392404473,0.32773252445993895,0.7094431531601438,0.6123820036803599,0.6376666221728515,48.60440972381633
P,240,1,3,Patch transformer,SNV + patches(16),50,0.4641708731651306,108803,mps,10.104473433988927,19.670326251637213,0.04336071650287232,0.51565641922974,20.610192428961092,4.560200883923794
K,240,1,3,Patch transformer,SNV + patches(16),50,0.4641708731651306,108803,mps,0.7083734341581248,1.119582501605073,0.0919036221013303,1.0932736071215974,1.3319243619640457,15.942486407100093
N,240,1,4,Patch transformer,SNV + patches(16),27,0.5905865430831909,108803,mps,0.2310588323858526,0.35761623664484365,0.7222985061126518,2.5174122641810444,0.7633695205910916,53.152932230260575
P,240,1,4,Patch transformer,SNV + patches(16),27,0.5905865430831909,108803,mps,19.155618644604967,39.65491795748006,-0.13308313920964854,0.5546649982628719,40.55607139524463,2.221993913025398
K,240,1,4,Patch transformer,SNV + patches(16),27,0.5905865430831909,108803,mps,0.9216669969108997,2.1997407146044736,0.1090502987886034,0.5531537357565421,2.4293565336210663,9.451713482102186
N,240,1,5,Patch transformer,SNV + patches(16),53,0.6116118431091309,108803,mps,0.21335736284477017,0.32219550677106695,0.7976428413153939,1.4885604855463757,0.8116903067839873,60.30561113294016
